old_url,new_url
https://tgharold.blogspot.com/2006/08/gentoo-amd64-on-asus-m2n32-sli-deluxe.shtml,/blog/2006-08-25-gentoo-amd64-on-asus-m2n32-sli-deluxe-part-2/
https://tgharold.blogspot.com/2006/06/getting-started-with-gpg4win.shtml,/blog/2006-06-12-getting-started-with-gpg4win/
https://tgharold.blogspot.com/2005/03/gentoo-epia-install-part-1.shtml,/blog/2005-03-29-gentoo-epia-install-part-1/
https://tgharold.blogspot.com/2006/06/subversion-for-linux-administrators.shtml,/blog/2006-06-14-subversion-for-linux-administrators/
https://tgharold.blogspot.com/2005/04/gentoo-20043-on-gigabyte-ga-6va7-part.shtml,/blog/2005-04-20-gentoo-20043-on-gigabyte-ga-6va7-part-3/
https://tgharold.blogspot.com/2005/03/installing-gentoo-on-software-raid.shtml,/blog/2005-03-31-installing-gentoo-on-software-raid/
https://tgharold.blogspot.com/2005/03/gentoo-20050-on-gigabyte-ga-6va7-part.shtml,/blog/2005-03-31-gentoo-20050-on-gigabyte-ga-6va7-part-1/
https://tgharold.blogspot.com/2005/04/gentoo-and-software-raid-20043.shtml,/blog/2005-04-19-gentoo-and-software-raid-20043/
https://tgharold.blogspot.com/2004/06/gentoo-install-2-via-epia-me6000.shtml,/blog/2004-06-15-gentoo-install-2-via-epia-me6000/
https://tgharold.blogspot.com/2004/06/gentoo-install-6-grub-system-tools.shtml,/blog/2004-06-16-gentoo-install-6-grub-system-tools-finalizing-the-install/
https://tgharold.blogspot.com/2005/09/gentoo-20051-software-raid-part-2.shtml,/blog/2005-09-22-gentoo-20051-software-raid-part-2-celeron-cpu/
https://tgharold.blogspot.com/2004/04/gentoo-epia-install-part-1.shtml,/blog/2005-03-29-gentoo-epia-install-part-1/
https://tgharold.blogspot.com/2005/08/visual-basic-rnd-function-tricks-and.shtml,/blog/2005-08-30-visual-basic-rnd-function-tricks-and-traps/
https://tgharold.blogspot.com/2004/06/gentoo-install-5-manual-kernel.shtml,/blog/2004-06-16-gentoo-install-5-manual-kernel-configuration/
https://tgharold.blogspot.com/2004/06/gentoo-install-3-bootstrapping.shtml,/blog/2004-06-15-gentoo-install-3-bootstrapping/
https://tgharold.blogspot.com/2004/06/troubleshooting-software-raid-boot.shtml,/blog/2004-06-17-troubleshooting-software-raid-boot-problems/
https://tgharold.blogspot.com/2004/06/securing-cwrsync.shtml,/blog/2004-06-18-securing-cwrsync/
https://tgharold.blogspot.com/2004/05/gentoo-samba-with-ads.shtml,/blog/2004-05-01-gentoo-samba-with-ads/
https://tgharold.blogspot.com/2004/06/lvm-and-software-raid.shtml,/blog/2004-06-15-lvm-and-software-raid/
https://tgharold.blogspot.com/2004/04/via-epia-gentoo-build.shtml,/blog/2004-04-27-via-epia-gentoo-build/
https://tgharold.blogspot.com/2004/06/gentoo-install-1-via-epia-me6000.shtml,/blog/2004-06-15-gentoo-install-1-via-epia-me6000/
https://tgharold.blogspot.com/2004/04/gentoo-lvm2-stuff.shtml,/blog/2004-04-30-gentoo-lvm2-stuff/
https://tgharold.blogspot.com/2004/05/gentoo-samba-round-2.shtml,/blog/2004-05-01-gentoo-samba-round-2/
https://tgharold.blogspot.com/2004/06/rsync-and-windows.shtml,/blog/2004-07-21-rsync-and-windows/
https://tgharold.blogspot.com/2004/07/rsyncconf-file-for-cygwin-environments.shtml,/blog/2004-07-21-rsyncconf-file-for-cygwin-environments/
https://tgharold.blogspot.com/2004/04/gentoo-epia-install-part-6.shtml,/blog/2004-04-28-gentoo-epia-install-part-6/
https://tgharold.blogspot.com/2004/05/tyan-trinity-kt400-s2495-part-2.shtml,/blog/2004-05-15-tyan-trinity-kt400-s2495-part-2/
https://tgharold.blogspot.com/2004/04/gentoo-epia-install-part-5.shtml,/blog/2004-04-28-gentoo-epia-install-part-5/
